date,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Aggregate
1975-01-01,7.59,15.18,16.23,48.82,52.02,15.77,8.65,13.49,11.1,5.92,3.42,8.19,60.14,8.71,7.49,14.93,13.37,7.39,14.57,17.26,3.13,0,0,0,1.49,23.35
1975-04-01,7.75,15.94,16.45,48.19,52.67,16.19,9.68,13.65,11.5,6.03,3.65,8.06,60.31,9.24,8.19,15.8,13.48,7.42,15.06,17.56,3.19,0,0,0,1.5,23.66
1975-07-01,8.04,16.65,17.16,47.73,53.34,17,9.88,13.84,11.91,6.15,3.87,7.97,60.51,9.83,8.87,16.84,13.71,7.52,15.59,17.62,3.2,0,0,0,1.53,23.89
1975-10-01,8.29,17.57,17.4,47.14,54.06,17.13,10.62,14.2,12.39,6.25,4.08,7.91,60.74,10.44,9.53,18.01,14.16,7.68,16.16,17.94,3.27,0,0,0,1.57,24.23
1976-01-01,8.58,18.74,17.65,46.43,54.83,17.65,10.69,14.42,12.89,6.46,4.3,7.88,60.96,11.08,10.16,19,14.13,7.83,16.72,18.14,3.33,0,0,0,1.63,24.48
1976-04-01,8.84,19.67,18.18,46.1,55.67,17.69,11.96,14.49,13.34,6.58,4.51,7.89,61.36,11.73,10.78,21.34,14.76,8.01,17.34,18.85,3.41,0,0,0,1.69,25.05
1976-07-01,9.07,20.58,18.17,45.77,56.58,18.11,12.4,14.71,13.8,6.66,4.71,7.93,61.93,12.43,11.37,23.03,15.12,8.1,17.99,19.17,3.41,0,0,0,1.75,25.45
1976-10-01,9.25,21.5,18.06,46.02,57.56,18.97,12.42,14.87,14.33,6.81,4.91,8,62.52,13.17,11.94,24.41,15.72,8.22,18.7,19.42,3.4,0,0,0,1.8,25.84
1977-01-01,9.47,22.45,17.95,45.94,58.6,19.04,12.71,14.94,14.95,6.94,5.04,8.11,63.21,13.75,12.57,26.88,16.03,8.38,19.5,20.03,3.41,0,0,0,1.85,26.45
1977-04-01,9.67,23.43,18.13,46.25,59.71,20.07,12.11,15.09,15.42,7,5.26,8.26,63.91,14.58,13.07,31.08,16.24,8.6,20.21,20.93,3.46,0,0.01,0,1.9,27.13
1977-07-01,9.88,24.41,18.31,46.6,60.89,20.89,14.06,15.09,15.87,7.13,5.51,8.44,64.64,15.55,13.51,31.77,16.61,8.65,20.9,21.42,3.46,0,0.01,0,1.94,27.71
1977-10-01,10.03,25.49,19.2,46.64,62.15,22.08,14.02,15.15,16.38,7.39,5.78,8.65,65.41,16.61,13.9,31.9,16.98,8.62,21.58,22.28,3.48,0,0.01,0,1.99,28.39
1978-01-01,10.22,26.14,19.48,47.01,63.51,22.84,15.31,15.42,16.76,7.65,6.06,8.9,66.16,17.57,14.08,32.29,17.01,8.62,22.21,22.96,3.52,0,0.01,0,2.05,29.01
1978-04-01,10.38,26.87,19.93,47.83,64.85,23.55,16.77,15.62,17.21,7.96,6.39,9.18,67.09,18.87,14.42,34.63,16.95,8.7,22.84,23.83,3.53,0,0.01,0,2.11,29.81
1978-07-01,10.63,27.64,20.39,48.86,66.18,24.23,17.04,15.6,17.69,8.42,6.76,9.56,68.14,20.4,14.76,32.59,17.39,8.79,23.46,24.53,3.6,0,0.01,0,2.15,30.46
1978-10-01,10.8,28.27,20.61,49.89,67.53,24.6,16.67,15.74,18.27,9.07,7.15,9.77,69.37,22.1,15.1,32.16,17.56,8.88,24.1,25.24,3.73,0,0.01,0,2.22,31.14
1979-01-01,11.03,28.96,21.03,50.87,68.94,25.19,16.51,16.04,18.71,9.67,7.78,9.7,70.69,24.47,15.43,31.3,17.62,9.02,24.84,26.36,3.82,0,0.01,0,2.33,32.05
1979-04-01,11.22,29.6,21.86,51.75,70.14,26.12,17.51,16.25,19.34,10.33,8.16,10.04,72.42,26.28,15.78,31.86,17.78,9.17,25.33,27.19,3.95,0,0.02,0,2.43,32.93
1979-07-01,12.06,30.08,22.85,53.06,71.15,26.61,17.27,16.6,20.07,11.01,8.5,10.67,74.53,28.16,16.13,31.47,17.97,9.28,25.73,27.75,4.11,0,0.02,0,2.55,33.73
1979-10-01,12.82,30.45,23.88,54.46,71.96,26.72,17.32,17.07,20.99,11.81,8.8,11.33,76.83,30.01,16.49,30.21,18.3,9.39,26.04,28.35,4.27,0,0.03,0,2.69,34.55
1980-01-01,13.64,30.64,25.01,56.11,72.47,26.23,17.72,17.83,22.49,12.44,8.79,12.07,79.46,31.79,16.98,29.48,18.81,9.56,26.15,28.85,4.43,0,0.03,0,2.85,35.48
1980-04-01,14.32,30.26,26.38,57.07,73.35,25.21,18.12,18.47,23.34,12.83,9.1,12.91,82.03,33.56,17.29,29.56,19.52,9.9,26.25,29.25,4.73,0,0.04,0,3.01,36.29
1980-07-01,14.75,29.72,27.65,58.16,74.52,25.74,20.31,19.1,24.09,13.2,9.46,13.61,84.71,35.43,17.55,27.96,20.03,10.24,26.33,30.09,5.17,0,0.04,0,3.14,37.32
1980-10-01,14.93,29.1,29.78,59.1,76.01,25.92,21.55,19.58,24.88,13.32,9.89,15.08,87.18,37.28,17.77,27.49,20.69,10.55,26.34,30.23,5.65,0,0.05,0,3.4,38.16
1981-01-01,16.15,28.66,33.56,61.02,77.9,25.75,20.96,20.45,25.57,13.52,10.69,17.62,89.47,40.14,18.01,27.27,21.1,10.96,26.05,30.39,6.14,0,0.06,0,3.87,39.28
1981-04-01,16.65,28.4,36.8,62.87,79.42,24.5,21.81,21.1,26.09,13.76,11.11,19.09,91.74,41.51,18.1,26.45,21.54,11.94,25.97,30.97,6.66,0,0.08,0,4.11,40.27
1981-07-01,16.39,28.07,40.73,64.08,80.66,23.71,23.03,21.89,26.53,13.83,11.47,19.8,93.97,42.59,18.11,25.58,21.97,12.85,25.98,31.43,7.19,0,0.1,0,4.1,41.13
1981-10-01,17.11,27.84,39.21,65.12,81.67,24.28,23.66,22.69,27.03,13.65,11.75,20.64,96.04,43.25,18.03,23.72,22.37,13.88,26.06,31.49,7.63,0,0.12,0,4.35,41.6
1982-01-01,16.98,27.39,38.51,66.1,82.47,24.07,21.47,24.03,27.31,13.5,11.81,21.4,97.98,41.14,17.56,22.77,23.02,15.02,26.22,32.01,7.94,0,0.16,0,4.81,42.25
1982-04-01,17.42,27.22,37.8,66.21,83.06,24.07,19.18,24.98,27.61,13.96,12.02,22.06,99.75,41.85,17.46,22.9,23.62,16.34,26.24,32.24,8.2,0,0.19,0,5.11,42.66
1982-07-01,17.2,27.37,36.18,66.51,83.44,23.6,18.62,25.89,27.89,14.15,12.24,22.73,101.35,43.23,17.4,23.46,24.08,16.72,26.28,31.93,8.43,0,0.23,0,5.32,42.85
1982-10-01,17.18,27.24,33.94,67.12,83.61,24.28,16.75,27.17,28.32,14.46,12.46,23.04,102.78,45.13,17.38,22.55,24.33,17.07,26.33,32.38,8.66,0,0.29,0,5.53,43.17
1983-01-01,17.57,27.04,34.17,67.81,83.54,26.35,18,28.94,28.79,15.08,12.72,22.85,104.03,50.19,17.41,22.55,25.21,17.26,26.13,32.95,9.17,0,0.34,0,5.71,43.8
1983-04-01,18.21,26.89,34.57,68.69,83.37,29.41,17.32,30.13,29.06,15.47,12.92,23.05,105.16,52.02,17.49,23.68,25.4,17.64,26.15,33.27,9.74,0,0.44,0,5.87,44.2
1983-07-01,18.19,26.77,35.21,69.96,83.07,29.91,16.31,31.38,29.29,15.93,13.11,23.51,106.13,53.49,17.62,24.07,25.49,18.09,26.28,33.52,10.23,0,0.55,0,5.98,44.51
1983-10-01,18.76,26.75,35.11,71.03,82.62,30.95,15.43,32.64,29.67,16.18,13.27,23.87,107.06,54.42,17.81,23.03,25.48,18.66,26.55,33.77,10.81,0,0.79,0,6.1,44.76
1984-01-01,19.58,26.9,34.67,72.16,81.98,32.7,16.76,33.71,30.02,16.52,13.46,24.21,107.91,53.8,18.15,22.9,26.74,19.26,26.92,34.29,11.06,0,1.22,0,6.22,45.12
1984-04-01,20.13,27.09,35.48,73.08,81.39,33.09,17.41,34.22,30.22,16.9,13.58,24.54,108.74,54.01,18.39,23.16,27.93,19.96,27.15,34.69,11.03,0,1.96,0,6.35,45.48
