date,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Aggregate
1975-01-01,7.6,15.18,16.18,48.82,52.02,15.77,8.67,13.5,11.1,5.92,3.42,8.19,60.14,8.71,7.49,14.93,13.37,7.4,14.57,17.24,3.14,0,0,22.49
1975-04-01,7.74,15.93,16.4,48.19,52.67,16.19,9.7,13.65,11.5,6.03,3.65,8.06,60.31,9.24,8.19,15.8,13.48,7.42,15.06,17.56,3.2,0,0,22.81
1975-07-01,8.04,16.65,17.11,47.73,53.34,17,9.91,13.84,11.91,6.15,3.87,7.97,60.51,9.83,8.87,16.84,13.71,7.52,15.59,17.62,3.21,0,0,23.03
1975-10-01,8.29,17.57,17.35,47.14,54.05,17.13,10.64,14.2,12.39,6.25,4.08,7.91,60.74,10.44,9.53,18.01,14.16,7.68,16.16,17.95,3.29,0,0,23.39
1976-01-01,8.58,18.74,17.59,46.43,54.83,17.65,10.71,14.42,12.89,6.46,4.3,7.88,60.96,11.08,10.16,19,14.13,7.83,16.72,18.14,3.35,0,0,23.67
1976-04-01,8.83,19.67,18.12,46.1,55.67,17.69,11.99,14.49,13.34,6.58,4.51,7.89,61.36,11.72,10.78,21.34,14.76,8.01,17.34,18.84,3.43,0,0,24.26
1976-07-01,9.07,20.58,18.12,45.77,56.58,18.11,12.43,14.71,13.8,6.66,4.71,7.93,61.93,12.44,11.37,23.03,15.12,8.1,17.99,19.18,3.43,0,0,24.66
1976-10-01,9.25,21.5,18,46.02,57.55,18.97,12.45,14.87,14.33,6.81,4.91,8,62.52,13.17,11.94,24.41,15.72,8.22,18.7,19.43,3.42,0,0,25.04
1977-01-01,9.48,22.45,17.89,45.94,58.59,19.04,12.74,14.94,14.95,6.94,5.04,8.11,63.21,13.75,12.57,26.88,16.03,8.39,19.5,20.03,3.43,0,0,25.6
1977-04-01,9.66,23.43,18.07,46.26,59.7,20.07,12.14,15.09,15.42,6.99,5.26,8.26,63.91,14.58,13.07,31.08,16.24,8.6,20.21,20.94,3.48,0,0.01,26.3
1977-07-01,9.88,24.41,18.25,46.6,60.88,20.89,14.09,15.09,15.87,7.13,5.51,8.44,64.64,15.56,13.51,31.77,16.61,8.65,20.9,21.42,3.48,0,0.01,26.88
1977-10-01,10.03,25.49,19.14,46.64,62.14,22.09,14.05,15.16,16.38,7.39,5.78,8.65,65.41,16.62,13.9,31.9,16.98,8.62,21.59,22.28,3.5,0,0.01,27.58
1978-01-01,10.22,26.14,19.41,47.01,63.51,22.84,15.35,15.42,16.76,7.65,6.06,8.9,66.16,17.56,14.08,32.29,17.01,8.62,22.21,22.96,3.54,0,0.01,28.23
1978-04-01,10.38,26.86,19.86,47.83,64.84,23.55,16.81,15.62,17.21,7.96,6.39,9.18,67.09,18.86,14.42,34.63,16.95,8.7,22.84,23.83,3.55,0,0.01,29.05
1978-07-01,10.63,27.64,20.33,48.86,66.17,24.23,17.08,15.6,17.69,8.42,6.76,9.56,68.14,20.4,14.76,32.59,17.39,8.79,23.46,24.54,3.62,0,0.01,29.72
1978-10-01,10.8,28.27,20.54,49.89,67.53,24.6,16.71,15.75,18.27,9.07,7.15,9.77,69.37,22.1,15.1,32.16,17.56,8.88,24.1,25.24,3.75,0,0.01,30.43
1979-01-01,11.03,28.96,20.97,50.87,68.94,25.19,16.55,16.04,18.71,9.67,7.78,9.7,70.69,24.46,15.43,31.3,17.62,9.02,24.84,26.37,3.83,0,0.01,31.33
1979-04-01,11.22,29.6,21.79,51.75,70.14,26.12,17.55,16.25,19.34,10.33,8.16,10.04,72.42,26.28,15.78,31.86,17.78,9.17,25.33,27.19,3.96,0,0.02,32.24
